Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_MatchAndReconcile,Chrome 72.0.3626.121,,2019-04-03 11:11:41,2019-04-03 11:12:12,30.409s,PASSED
,,,,,,
Test Cases/MatchAndReconcilePageTestCase/TC010_VerifyDetailsofMatchAndReconcile,Chrome 72.0.3626.121,,2019-04-03 11:11:43,2019-04-03 11:12:10,27.149s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-03 11:11:43,2019-04-03 11:11:43,0.049s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC003_ValidateSwitchBetweenTabOnIEHOME""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-03 11:11:43,2019-04-03 11:12:04,20.860s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 11:12:04,2019-04-03 11:12:04,0.035s,PASSED
"elements = getText(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""))",Chrome 72.0.3626.121,,2019-04-03 11:12:04,2019-04-03 11:12:04,0.100s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(elements),Chrome 72.0.3626.121,,2019-04-03 11:12:04,2019-04-03 11:12:04,0.001s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-03 11:12:04,2019-04-03 11:12:06,2.016s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getDetailsofReconHeader(),Chrome 72.0.3626.121,,2019-04-03 11:12:06,2019-04-03 11:12:07,0.892s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-03 11:12:07,2019-04-03 11:12:09,2.004s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getDetailsofReceiverHeader(),Chrome 72.0.3626.121,,2019-04-03 11:12:09,2019-04-03 11:12:10,0.464s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-03 11:12:10,2019-04-03 11:12:10,0.003s,PASSED
