Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_HOMEPAGE_TestSuite,Chrome 72.0.3626.121,,2019-04-03 10:43:11,2019-04-03 10:45:34,2m - 22.586s,ERROR
,,,,,,
Test Cases/IEHomePageTestCase/TC005_NavigateTO_IE_HOME,Chrome 72.0.3626.121,,2019-04-03 10:43:13,2019-04-03 10:43:36,23.491s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-03 10:43:13,2019-04-03 10:43:13,0.199s,PASSED
"callTestCase(findTestCase(""CommonTestCase/TC001_OpenBrowserForStore""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-03 10:43:14,2019-04-03 10:43:26,12.493s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/HOT_Operation""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:43:26,2019-04-03 10:43:26,0.080s,PASSED
"click(findTestObject(""IE_Home_Page/HOT_Operation""))",Chrome 72.0.3626.121,,2019-04-03 10:43:26,2019-04-03 10:43:28,2.149s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/TaskList""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:43:28,2019-04-03 10:43:28,0.102s,PASSED
"click(findTestObject(""IE_Home_Page/TaskList""))",Chrome 72.0.3626.121,,2019-04-03 10:43:28,2019-04-03 10:43:29,1.028s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/ID_Filter""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:43:29,2019-04-03 10:43:31,1.758s,PASSED
"click(findTestObject(""IE_Home_Page/ID_Filter""))",Chrome 72.0.3626.121,,2019-04-03 10:43:31,2019-04-03 10:43:32,0.879s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/ID_TextBox""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:43:32,2019-04-03 10:43:32,0.141s,PASSED
"clearText(findTestObject(""IE_Home_Page/ID_TextBox""))",Chrome 72.0.3626.121,,2019-04-03 10:43:32,2019-04-03 10:43:32,0.245s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-03 10:43:32,2019-04-03 10:43:34,2.007s,PASSED
"setText(findTestObject(""IE_Home_Page/ID_TextBox""), ""1634"")",Chrome 72.0.3626.121,,2019-04-03 10:43:34,2019-04-03 10:43:35,0.467s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/Filter_Button""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:43:35,2019-04-03 10:43:35,0.079s,PASSED
"click(findTestObject(""IE_Home_Page/Filter_Button""))",Chrome 72.0.3626.121,,2019-04-03 10:43:35,2019-04-03 10:43:35,0.211s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/OpenLink""), Timeout, STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-03 10:43:35,2019-04-03 10:43:35,0.199s,PASSED
getAllDetails_IE_HomePage.HandlingStaleElementReferenceException.clickOnOpenLink(),Chrome 72.0.3626.121,,2019-04-03 10:43:35,2019-04-03 10:43:36,0.592s,ERROR
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-03 10:43:36,2019-04-03 10:43:36,0.008s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC006_VerifyDetailsOfShowMoreDetailLink,Chrome 72.0.3626.121,,2019-04-03 10:43:36,2019-04-03 10:44:01,24.720s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-03 10:43:36,2019-04-03 10:43:36,0.002s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-03 10:43:37,2019-04-03 10:43:57,20.257s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:43:57,2019-04-03 10:43:57,0.067s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-03 10:43:57,2019-04-03 10:43:58,0.278s,PASSED
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetails(),Chrome 72.0.3626.121,,2019-04-03 10:43:58,2019-04-03 10:43:58,0.490s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-03 10:43:58,2019-04-03 10:44:00,2.008s,PASSED
"scrollToElement(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:44:00,2019-04-03 10:44:00,0.198s,PASSED
"TextOfShowLessDetail = getText(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""))",Chrome 72.0.3626.121,,2019-04-03 10:44:00,2019-04-03 10:44:00,0.143s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(TextOfShowLessDetail),Chrome 72.0.3626.121,,2019-04-03 10:44:00,2019-04-03 10:44:00,0.001s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""))",Chrome 72.0.3626.121,,2019-04-03 10:44:00,2019-04-03 10:44:01,0.253s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 10:44:01,2019-04-03 10:44:01,0.052s,PASSED
"TextOfShowMoreDetail = getText(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-03 10:44:01,2019-04-03 10:44:01,0.043s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(TextOfShowMoreDetail),Chrome 72.0.3626.121,,2019-04-03 10:44:01,2019-04-03 10:44:01,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-03 10:44:01,2019-04-03 10:44:01,0.000s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC008_GetDetailsofHistoryDetails,Chrome 72.0.3626.121,,2019-04-03 10:44:01,2019-04-03 10:44:20,18.834s,PASSED
