Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_HOMEPAGE_TestSuite,Chrome 72.0.3626.121,,2019-04-01 10:21:48,2019-04-01 10:22:53,1m - 4.836s,PASSED
,,,,,,
Test Cases/CoraHomePage/NavigateTO_IE_HOME,Chrome 72.0.3626.121,,2019-04-01 10:21:49,2019-04-01 10:22:09,20.662s,PASSED
"callTestCase(findTestCase(""Common_TestCase/OpenBrowserNavigateToURL""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-01 10:21:49,2019-04-01 10:22:01,11.585s,PASSED
"waitForElementPresent(findTestObject(""IE_HOME_Page_Object/HOT_Operation""), Timeout)",Chrome 72.0.3626.121,,2019-04-01 10:22:01,2019-04-01 10:22:01,0.410s,PASSED
"click(findTestObject(""IE_HOME_Page_Object/HOT_Operation""))",Chrome 72.0.3626.121,,2019-04-01 10:22:01,2019-04-01 10:22:03,1.913s,PASSED
"waitForElementPresent(findTestObject(""IE_HOME_Page_Object/TaskList""), Timeout)",Chrome 72.0.3626.121,,2019-04-01 10:22:03,2019-04-01 10:22:03,0.128s,PASSED
"click(findTestObject(""IE_HOME_Page_Object/TaskList""))",Chrome 72.0.3626.121,,2019-04-01 10:22:03,2019-04-01 10:22:04,0.903s,PASSED
"waitForElementPresent(findTestObject(""IE_HOME_Page_Object/OpenLink""), Timeout)",Chrome 72.0.3626.121,,2019-04-01 10:22:04,2019-04-01 10:22:07,2.284s,PASSED
"click(findTestObject(""IE_HOME_Page_Object/OpenLink""))",Chrome 72.0.3626.121,,2019-04-01 10:22:07,2019-04-01 10:22:07,0.719s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-04-01 10:22:07,2019-04-01 10:22:07,0.176s,PASSED
"verifyElementPresent(findTestObject(""IE_HOME_Page_Object/IE_HomePage_Text""), Timeout)",Chrome 72.0.3626.121,,2019-04-01 10:22:07,2019-04-01 10:22:09,1.552s,PASSED
"Text = getText(findTestObject(""IE_HOME_Page_Object/IE_HomePage_Text""))",Chrome 72.0.3626.121,,2019-04-01 10:22:09,2019-04-01 10:22:09,0.133s,PASSED
"println(""IE Home page is displayed :"" + Text)",Chrome 72.0.3626.121,,2019-04-01 10:22:09,2019-04-01 10:22:09,0.000s,PASSED
,,,,,,
Test Cases/CoraHomePage/IE_HOME_ShowMoreDetail,Chrome 72.0.3626.121,,2019-04-01 10:22:09,2019-04-01 10:22:33,23.514s,PASSED
"callTestCase(findTestCase(""CoraHomePage/NavigateTO_IE_HOME""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-01 10:22:10,2019-04-01 10:22:29,19.051s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-01 10:22:29,2019-04-01 10:22:29,0.080s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-01 10:22:29,2019-04-01 10:22:30,0.438s,PASSED
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetails(),Chrome 72.0.3626.121,,2019-04-01 10:22:30,2019-04-01 10:22:30,0.537s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-01 10:22:30,2019-04-01 10:22:32,2.015s,PASSED
"scrollToElement(findTestObject(""IE_Home_ShowMoreDetail/ShowLessDetail""), Timeout)",Chrome 72.0.3626.121,,2019-04-01 10:22:32,2019-04-01 10:22:33,0.138s,PASSED
"getText(findTestObject(""IE_Home_ShowMoreDetail/ShowLessDetail""))",Chrome 72.0.3626.121,,2019-04-01 10:22:33,2019-04-01 10:22:33,0.144s,PASSED
,,,,,,
Test Cases/CoraHomePage/IE_Home_HistoryDetails,Chrome 72.0.3626.121,,2019-04-01 10:22:33,2019-04-01 10:22:51,17.904s,PASSED
"callTestCase(findTestCase(""CoraHomePage/NavigateTO_IE_HOME""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-01 10:22:33,2019-04-01 10:22:50,16.571s,PASSED
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetailofHistory(),Chrome 72.0.3626.121,,2019-04-01 10:22:50,2019-04-01 10:22:51,0.678s,PASSED
