Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_HOMEPAGE_TestSuite,Chrome 72.0.3626.121,,2019-04-05 15:12:29,2019-04-05 15:16:15,3m - 46.501s,FAILED
,,,,,,
Test Cases/IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy,Chrome 72.0.3626.121,,2019-04-05 15:12:30,2019-04-05 15:12:55,25.385s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-05 15:12:30,2019-04-05 15:12:30,0.038s,PASSED
"callTestCase(findTestCase(""CommonTestCase/TC001_OpenBrowserForStore""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-05 15:12:31,2019-04-05 15:12:46,14.931s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/HOT_Operation""), Timeout)",Chrome 72.0.3626.121,,2019-04-05 15:12:46,2019-04-05 15:12:46,0.071s,PASSED
"click(findTestObject(""IE_Home_Page/HOT_Operation""))",Chrome 72.0.3626.121,,2019-04-05 15:12:46,2019-04-05 15:12:48,1.991s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/TaskList""), Timeout)",Chrome 72.0.3626.121,,2019-04-05 15:12:48,2019-04-05 15:12:48,0.146s,PASSED
"click(findTestObject(""IE_Home_Page/TaskList""))",Chrome 72.0.3626.121,,2019-04-05 15:12:48,2019-04-05 15:12:49,1.244s,PASSED
"scrollToElement(findTestObject(""IE_Home_Page/CaseID""), 5)",Chrome 72.0.3626.121,,2019-04-05 15:12:49,2019-04-05 15:12:52,2.252s,PASSED
"caseID = getText(findTestObject(""IE_Home_Page/CaseID""))",Chrome 72.0.3626.121,,2019-04-05 15:12:52,2019-04-05 15:12:52,0.239s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(caseID),Chrome 72.0.3626.121,,2019-04-05 15:12:52,2019-04-05 15:12:52,0.016s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/Open""), Timeout)",Chrome 72.0.3626.121,,2019-04-05 15:12:52,2019-04-05 15:12:52,0.329s,PASSED
"click(findTestObject(""IE_Home_Page/Open""))",Chrome 72.0.3626.121,,2019-04-05 15:12:52,2019-04-05 15:12:53,0.734s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-04-05 15:12:53,2019-04-05 15:12:53,0.189s,PASSED
"verifyElementPresent(findTestObject(""IE_Home_Page/IE_HomePage_Text""), Timeout)",Chrome 72.0.3626.121,,2019-04-05 15:12:53,2019-04-05 15:12:55,2.134s,PASSED
"textOFWalmart = getText(findTestObject(""IE_Home_Page/IE_HomePage_Text""))",Chrome 72.0.3626.121,,2019-04-05 15:12:55,2019-04-05 15:12:55,0.110s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(textOFWalmart),Chrome 72.0.3626.121,,2019-04-05 15:12:55,2019-04-05 15:12:55,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-05 15:12:55,2019-04-05 15:12:55,0.010s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC006_VerifyDetailsOfShowMoreDetailLink,Chrome 72.0.3626.121,,2019-04-05 15:12:55,2019-04-05 15:13:54,58.812s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-05 15:12:55,2019-04-05 15:12:55,0.004s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-05 15:12:57,2019-04-05 15:13:19,22.427s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-05 15:13:19,2019-04-05 15:13:22,3.248s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-05 15:13:22,2019-04-05 15:13:54,31.780s,FAILED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-05 15:13:54,2019-04-05 15:13:54,0.002s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC008_GetDetailsofHistoryDetails,Chrome 72.0.3626.121,,2019-04-05 15:13:54,2019-04-05 15:14:17,22.974s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-05 15:13:54,2019-04-05 15:13:54,0.003s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-05 15:13:55,2019-04-05 15:14:16,20.521s,PASSED
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetailofHistory(),Chrome 72.0.3626.121,,2019-04-05 15:14:16,2019-04-05 15:14:17,1.237s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-05 15:14:17,2019-04-05 15:14:17,0.005s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC003_ValidateSwitchBetweenTabOnIEHOME,Chrome 72.0.3626.121,,2019-04-05 15:14:17,2019-04-05 15:14:45,27.629s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-05 15:14:17,2019-04-05 15:14:17,0.013s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-05 15:14:18,2019-04-05 15:14:44,25.422s,PASSED
"getAllDetails_IE_HomePage.IE_Homepage_Detail.verifySwitchTabonIEHOME(""Match & Reconcile"")",Chrome 72.0.3626.121,,2019-04-05 15:14:44,2019-04-05 15:14:45,1.207s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-05 15:14:45,2019-04-05 15:14:45,0.002s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC007_VerifyCollapsedModeOfShowMoreDetailLink,Chrome 72.0.3626.121,,2019-04-05 15:14:45,2019-04-05 15:15:43,57.911s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-05 15:14:45,2019-04-05 15:14:45,0.002s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-05 15:14:46,2019-04-05 15:15:08,21.714s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-05 15:15:08,2019-04-05 15:15:11,3.149s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-05 15:15:11,2019-04-05 15:15:43,31.747s,FAILED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-05 15:15:43,2019-04-05 15:15:43,0.011s,PASSED
,,,,,,
Test Cases/MatchAndReconcilePageTestCase/TC010_VerifyDetailsofMatchAndReconcile,Chrome 72.0.3626.121,,2019-04-05 15:15:43,2019-04-05 15:16:13,29.817s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-05 15:15:43,2019-04-05 15:15:43,0.004s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC003_ValidateSwitchBetweenTabOnIEHOME""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-05 15:15:45,2019-04-05 15:16:07,22.132s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""), Timeout)",Chrome 72.0.3626.121,,2019-04-05 15:16:07,2019-04-05 15:16:07,0.070s,PASSED
"elements = getText(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""))",Chrome 72.0.3626.121,,2019-04-05 15:16:07,2019-04-05 15:16:07,0.202s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(elements),Chrome 72.0.3626.121,,2019-04-05 15:16:07,2019-04-05 15:16:07,0.001s,PASSED
delay(Timeout_MinDelay),Chrome 72.0.3626.121,,2019-04-05 15:16:07,2019-04-05 15:16:09,2.013s,PASSED
