Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_MatchAndReconcile,Chrome 72.0.3626.121,,2019-04-03 11:01:51,2019-04-03 11:02:18,26.836s,PASSED
,,,,,,
Test Cases/MatchAndReconcilePageTestCase/TC010_VerifyDetailsofMatchAndReconcile,Chrome 72.0.3626.121,,2019-04-03 11:01:52,2019-04-03 11:02:16,24.330s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-03 11:01:52,2019-04-03 11:01:52,0.032s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC003_ValidateSwitchBetweenTabOnIEHOME""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-03 11:01:53,2019-04-03 11:02:11,18.143s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 11:02:11,2019-04-03 11:02:11,0.180s,PASSED
"elements = getText(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""))",Chrome 72.0.3626.121,,2019-04-03 11:02:11,2019-04-03 11:02:11,0.143s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(elements),Chrome 72.0.3626.121,,2019-04-03 11:02:11,2019-04-03 11:02:11,0.001s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-03 11:02:11,2019-04-03 11:02:13,2.014s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getDetailsofReconHeader(),Chrome 72.0.3626.121,,2019-04-03 11:02:13,2019-04-03 11:02:14,0.606s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-03 11:02:14,2019-04-03 11:02:16,2.003s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getDetailsofReceiverHeader(),Chrome 72.0.3626.121,,2019-04-03 11:02:16,2019-04-03 11:02:16,0.517s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-03 11:02:16,2019-04-03 11:02:16,0.002s,PASSED
