Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetailofHistory(),Chrome 72.0.3626.121,,2019-04-10 14:49:55,2019-04-10 14:49:56,0.824s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-10 14:49:56,2019-04-10 14:49:58,2.260s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC003_ValidateSwitchBetweenTabOnIEHOME,Chrome 72.0.3626.121,,2019-04-10 14:49:58,2019-04-10 14:50:23,25.331s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-10 14:49:58,2019-04-10 14:49:58,0.002s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-10 14:49:59,2019-04-10 14:50:20,21.150s,PASSED
"getAllDetails_IE_HomePage.IE_Homepage_Detail.verifySwitchTabonIEHOME(""Match & Reconcile"")",Chrome 72.0.3626.121,,2019-04-10 14:50:20,2019-04-10 14:50:21,0.910s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-10 14:50:21,2019-04-10 14:50:23,2.802s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC007_VerifyCollapsedModeOfShowMoreDetailLink,Chrome 72.0.3626.121,,2019-04-10 14:50:23,2019-04-10 14:50:49,25.592s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-10 14:50:23,2019-04-10 14:50:23,0.002s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-10 14:50:24,2019-04-10 14:50:44,20.386s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:50:44,2019-04-10 14:50:44,0.041s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-10 14:50:44,2019-04-10 14:50:45,0.170s,PASSED
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetails(),Chrome 72.0.3626.121,,2019-04-10 14:50:45,2019-04-10 14:50:45,0.216s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-10 14:50:45,2019-04-10 14:50:47,2.005s,PASSED
"scrollToElement(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:50:47,2019-04-10 14:50:47,0.116s,PASSED
"textOfShowlessDetail = getText(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""))",Chrome 72.0.3626.121,,2019-04-10 14:50:47,2019-04-10 14:50:47,0.060s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(textOfShowlessDetail),Chrome 72.0.3626.121,,2019-04-10 14:50:47,2019-04-10 14:50:47,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-10 14:50:47,2019-04-10 14:50:49,2.067s,PASSED
,,,,,,
Test Cases/MatchAndReconcilePageTestCase/TC010_VerifyDetailsofMatchAndReconcile,Chrome 72.0.3626.121,,2019-04-10 14:50:49,2019-04-10 14:51:19,30.169s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-10 14:50:49,2019-04-10 14:50:49,0.006s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC003_ValidateSwitchBetweenTabOnIEHOME""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-10 14:50:50,2019-04-10 14:51:12,21.902s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:51:12,2019-04-10 14:51:12,0.077s,PASSED
"elements = getText(findTestObject(""IE_Home_MatchAndReconcile_Page/HeaderOfMatchAndReconcile""))",Chrome 72.0.3626.121,,2019-04-10 14:51:12,2019-04-10 14:51:12,0.256s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(elements),Chrome 72.0.3626.121,,2019-04-10 14:51:12,2019-04-10 14:51:12,0.007s,PASSED
delay(Timeout_MinDelay),Chrome 72.0.3626.121,,2019-04-10 14:51:12,2019-04-10 14:51:14,2.005s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getHeaderDetailsOfMatchAndReconcile(),Chrome 72.0.3626.121,,2019-04-10 14:51:14,2019-04-10 14:51:14,0.071s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getlistofReconHeader(),Chrome 72.0.3626.121,,2019-04-10 14:51:14,2019-04-10 14:51:14,0.081s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getDetailsofReconHeader(),Chrome 72.0.3626.121,,2019-04-10 14:51:14,2019-04-10 14:51:15,0.618s,PASSED
delay(Timeout_MinDelay),Chrome 72.0.3626.121,,2019-04-10 14:51:15,2019-04-10 14:51:17,2.003s,PASSED
getAllDetails_IE_HomePage.Match_Reconcile_Detail.getDetailsofReceiverHeader(),Chrome 72.0.3626.121,,2019-04-10 14:51:17,2019-04-10 14:51:17,0.578s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-10 14:51:17,2019-04-10 14:51:19,1.923s,PASSED
