Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_HOMEPAGE_TestSuite,Chrome 72.0.3626.121,,2019-04-10 14:06:14,2019-04-10 14:09:22,3m - 7.576s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy,Chrome 72.0.3626.121,,2019-04-10 14:06:17,2019-04-10 14:06:54,37.412s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-10 14:06:17,2019-04-10 14:06:17,0.047s,PASSED
"callTestCase(findTestCase(""CommonTestCase/TC001_OpenBrowserForStore""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-10 14:06:18,2019-04-10 14:06:42,23.884s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/HOT_Operation""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:06:42,2019-04-10 14:06:43,0.767s,PASSED
"click(findTestObject(""IE_Home_Page/HOT_Operation""))",Chrome 72.0.3626.121,,2019-04-10 14:06:43,2019-04-10 14:06:45,2.202s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/TaskList""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:06:45,2019-04-10 14:06:45,0.167s,PASSED
"click(findTestObject(""IE_Home_Page/TaskList""))",Chrome 72.0.3626.121,,2019-04-10 14:06:45,2019-04-10 14:06:46,1.111s,PASSED
"scrollToElement(findTestObject(""IE_Home_Page/CaseID""), 5)",Chrome 72.0.3626.121,,2019-04-10 14:06:46,2019-04-10 14:06:48,2.142s,PASSED
"caseID = getText(findTestObject(""IE_Home_Page/CaseID""))",Chrome 72.0.3626.121,,2019-04-10 14:06:48,2019-04-10 14:06:48,0.194s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(caseID),Chrome 72.0.3626.121,,2019-04-10 14:06:48,2019-04-10 14:06:48,0.020s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/Open""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:06:48,2019-04-10 14:06:48,0.090s,PASSED
"click(findTestObject(""IE_Home_Page/Open""))",Chrome 72.0.3626.121,,2019-04-10 14:06:48,2019-04-10 14:06:49,0.733s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-04-10 14:06:49,2019-04-10 14:06:49,0.218s,PASSED
"verifyElementPresent(findTestObject(""IE_Home_Page/IE_HomePage_Text""), Timeout)",Chrome 72.0.3626.121,,2019-04-10 14:06:49,2019-04-10 14:06:51,1.797s,PASSED
"textOFWalmart = getText(findTestObject(""IE_Home_Page/IE_HomePage_Text""))",Chrome 72.0.3626.121,,2019-04-10 14:06:51,2019-04-10 14:06:51,0.216s,PASSED
