Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_HOMEPAGE_TestSuite,Chrome 72.0.3626.121,,2019-04-03 11:00:13,2019-04-03 11:01:46,1m - 32.893s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC006_VerifyDetailsOfShowMoreDetailLink,Chrome 72.0.3626.121,,2019-04-03 11:00:14,2019-04-03 11:00:40,26.126s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-03 11:00:14,2019-04-03 11:00:14,0.072s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-03 11:00:15,2019-04-03 11:00:37,21.535s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 11:00:37,2019-04-03 11:00:37,0.063s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-03 11:00:37,2019-04-03 11:00:37,0.309s,PASSED
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetails(),Chrome 72.0.3626.121,,2019-04-03 11:00:37,2019-04-03 11:00:37,0.515s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-04-03 11:00:37,2019-04-03 11:00:39,2.015s,PASSED
"scrollToElement(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 11:00:39,2019-04-03 11:00:40,0.111s,PASSED
"TextOfShowLessDetail = getText(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""))",Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.187s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(TextOfShowLessDetail),Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.001s,PASSED
"click(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowLessDetail""))",Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.273s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""), Timeout)",Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.047s,PASSED
"TextOfShowMoreDetail = getText(findTestObject(""IE_Home_ShowMoreDetail_Page/ShowMoreDetails""))",Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.116s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(TextOfShowMoreDetail),Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.002s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC008_GetDetailsofHistoryDetails,Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:59,18.582s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-03 11:00:40,2019-04-03 11:00:40,0.002s,PASSED
"callTestCase(findTestCase(""IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-03 11:00:41,2019-04-03 11:00:58,16.778s,PASSED
getAllDetails_IE_HomePage.IE_Homepage_Detail.getDetailofHistory(),Chrome 72.0.3626.121,,2019-04-03 11:00:58,2019-04-03 11:00:59,1.165s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-03 11:00:59,2019-04-03 11:00:59,0.001s,PASSED
,,,,,,
