Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IE_HOMEPAGE_TestSuite,Chrome 72.0.3626.121,,2019-04-09 14:07:51,2019-04-09 14:12:03,4m - 11.372s,PASSED
,,,,,,
Test Cases/IEHomePageTestCase/TC005_NavigateTO_IE_HOME - Copy,Chrome 72.0.3626.121,,2019-04-09 14:07:54,2019-04-09 14:08:40,46.213s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-04-09 14:07:54,2019-04-09 14:07:54,0.017s,PASSED
"callTestCase(findTestCase(""CommonTestCase/TC001_OpenBrowserForStore""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-09 14:07:55,2019-04-09 14:08:19,24.500s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/HOT_Operation""), Timeout)",Chrome 72.0.3626.121,,2019-04-09 14:08:19,2019-04-09 14:08:20,0.592s,PASSED
"click(findTestObject(""IE_Home_Page/HOT_Operation""))",Chrome 72.0.3626.121,,2019-04-09 14:08:20,2019-04-09 14:08:22,2.635s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/TaskList""), Timeout)",Chrome 72.0.3626.121,,2019-04-09 14:08:22,2019-04-09 14:08:23,0.261s,PASSED
"click(findTestObject(""IE_Home_Page/TaskList""))",Chrome 72.0.3626.121,,2019-04-09 14:08:23,2019-04-09 14:08:25,1.795s,PASSED
"scrollToElement(findTestObject(""IE_Home_Page/CaseID""), 5)",Chrome 72.0.3626.121,,2019-04-09 14:08:25,2019-04-09 14:08:28,3.267s,PASSED
"caseID = getText(findTestObject(""IE_Home_Page/CaseID""))",Chrome 72.0.3626.121,,2019-04-09 14:08:28,2019-04-09 14:08:28,0.261s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(caseID),Chrome 72.0.3626.121,,2019-04-09 14:08:28,2019-04-09 14:08:28,0.158s,PASSED
"waitForElementPresent(findTestObject(""IE_Home_Page/Open""), Timeout)",Chrome 72.0.3626.121,,2019-04-09 14:08:28,2019-04-09 14:08:29,0.493s,PASSED
"click(findTestObject(""IE_Home_Page/Open""))",Chrome 72.0.3626.121,,2019-04-09 14:08:29,2019-04-09 14:08:30,1.115s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-04-09 14:08:30,2019-04-09 14:08:30,0.418s,PASSED
"verifyElementPresent(findTestObject(""IE_Home_Page/IE_HomePage_Text""), Timeout)",Chrome 72.0.3626.121,,2019-04-09 14:08:30,2019-04-09 14:08:32,2.133s,PASSED
"textOFWalmart = getText(findTestObject(""IE_Home_Page/IE_HomePage_Text""))",Chrome 72.0.3626.121,,2019-04-09 14:08:32,2019-04-09 14:08:33,0.238s,PASSED
getAllDetails_IE_HomePage.PrintStatement.getTextofElement(textOFWalmart),Chrome 72.0.3626.121,,2019-04-09 14:08:33,2019-04-09 14:08:33,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-04-09 14:08:33,2019-04-09 14:08:40,7.393s,PASSED
,,,,,,
